species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
ficbecl,Moraceae,Ficus,beccarii var. latifolia,Ficus beccarii var. latifolia,yes,yes,n,F,10,224.42,0.4,J,R,4,s,p,o
ficcar1,Moraceae,Ficus,cf. carrii-corner,Ficus cf. carrii-corner,yes,yes,n,F,5,207.15,0.4,J,R,4,s,p,o
ficcha,Moraceae,Ficus,chartacea,Ficus chartacea,yes,yes,n,F,12,151.58,0.4,J,R,4,s,p,o
ficgul1,Moraceae,Ficus,cf. gul,Ficus cf. gul,yes,yes,n,F,22,207.15,0.4,J,R,4,s,p,o
ficmeg,Moraceae,Ficus,megaleia,Ficus megaleia,yes,yes,n,F,7,183.07,0.4,J,R,4,s,p,o
ficmeg1,Moraceae,Ficus,cf. megaleia,Ficus cf. megaleia,yes,yes,n,F,7,183.07,0.4,J,R,4,s,p,o
ficobsb,Moraceae,Ficus,obscura var. borneensis,Ficus obscura var. borneensis,yes,yes,n,F,7,207.15,0.4,J,R,4,s,p,o
ficpar,Moraceae,Ficus,parietalis,Ficus parietalis,no,yes,n,G,na,207.15,0.4,J,R,4,s,p,o
ficrub1,Moraceae,Ficus,cf. rubocuspidata,Ficus cf. rubocuspidata,yes,yes,n,F,na,207.15,0.4,J,R,4,s,p,o
fictre,Moraceae,Ficus,treubii,Ficus treubii,yes,yes,n,F,15,216.92,0.4,J,R,4,s,p,o
fimdur,Cyperaceae,Fimbristylis,dura,Fimbristylis dura,no,no,e,B,0.5,126.53,na,na,R,1,sv,p,p
fis014,Annonaceae,Fissistigma,sp. TFD014,Fissistigma sp. TFD014,no,yes,n,G,na,160.35,na,N,T,3,s,p,e
fisful,Annonaceae,Fissistigma,fulgens,Fissistigma fulgens,no,yes,n,G,na,160.35,na,N,T,3,s,p,e
forfil,Leguminosae,Fordia,filipes,Fordia filipes,yes,yes,n,F,8,143.84,0.64,na,X,2,s,p,d
forspl,Leguminosae,Fordia,splendidissima,Fordia splendidissima,yes,yes,n,F,13,143.84,0.64,na,X,2,s,p,d
forspl1,Leguminosae,Fordia,cf. splendidissima,Fordia cf. splendidissima,yes,yes,n,F,13,143.84,0.64,na,X,2,s,p,d
fri015,Annonaceae,Friesodielsia,sp. TFD015,Friesodielsia sp. TFD015,no,yes,n,G,na,138.76,na,N,T,1,s,p,e
friacu,Annonaceae,Friesodielsia,acuminata,Friesodielsia acuminata,no,yes,n,G,na,152.2,na,N,T,1,s,p,e
galful,Pandaceae,Galearia,fulva,Galearia fulva,yes,yes,n,F,20,192.15,0.64,J,W,1,s,p,na
galmai,Pandaceae,Galearia,maingayi,Galearia maingayi,yes,yes,n,F,27,192.15,0.64,J,W,1,s,p,na
gar040,Clusiaceae,Garcinia,sp. TFD040,Garcinia sp. TFD040,yes,yes,n,F,na,145.49,0.72,J,S,3,s,p,h
garben,Clusiaceae,Garcinia,benthamiana,Garcinia benthamiana,yes,yes,n,F,35,145.49,0.72,J,S,3,s,p,h
